"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Volume in mL"
# Values represent volume of structure with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
14173.754311,10.9629,0.0000,10.9629,10.9629,6.0282,0.0000
14215.077209,10.9278,0.0000,10.9278,10.9278,6.0282,0.0000
14256.400108,10.9068,0.0000,10.9068,10.9068,6.0282,0.0000
14297.723007,10.8788,0.0000,10.8788,10.8788,6.0282,0.0000
14339.045906,10.8788,0.0000,10.8788,10.8788,6.0282,0.0000
14380.368805,10.8577,0.0000,10.8577,10.8577,6.0282,0.0000
14421.691704,10.8367,0.0000,10.8367,10.8367,6.0282,0.0000
14463.014603,10.8297,0.0000,10.8297,10.8297,6.0282,0.0000
14504.337502,10.8157,0.0000,10.8157,10.8157,6.0282,0.0000
14545.660400,10.7806,0.0000,10.7806,10.7806,6.0282,0.0000
